id,doc_prod_num_id,num_sku,num_asin,num_product_amazon_id,num_fnsku,name_fg_color_id,name_fg_size_id,Product#,val_freight,val_duty,val_dest,val_storage,,,행 레이블,val_freight,val_duty,val_dest,val_storage,,행 레이블,Product Number,"오더
차수",합계 : 실제 수량,,행 레이블,Product Number,오더차수, 합계 : 실제 수량 , F/pcs , D/pcs , O/pcs , S/pcs ,, Freight , Duty , Other , Storage ,,행 레이블,평균 : F/pcs,평균 : D/pcs,평균 : O/pcs,평균 : S/pcs
75,5,NF2004_#BK4,B08VHQCM8Y,1.94E+11,X002SKYEFN,1,13,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5,NF2004_#EP1,B08VHP475S,1.94E+11,X002SL5Y2T,12,10,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,5,NF2004_#EP2,B08VHPKVBK,1.94E+11,X002SKYEQ7,12,12,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,5,NF2004_#EP3,B08VHPJG4P,1.94E+11,X002SKYEG7,12,11,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,NF2004_#EP4,B08VHQSZ73,1.94E+11,X002SKYEPX,12,13,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5,NF2004_#GN1,B098T3JRF8,1.94E+11,B098T3JRF8,40,10,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,5,NF2004_#GN2,B098T35KC1,1.94E+11,B098T35KC1,40,12,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5,NF2004_#GN3,B098T4C158,1.94E+11,B098T4C158,40,11,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,5,NF2004_#GN4,B098T4LKV5,1.94E+11,B098T4LKV5,40,13,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,5,NF2004_#PE1,B08VHPP2P9,1.94E+11,X002SL7GVB,11,10,NF2004,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
