id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,remark,creted_ts,updated_ts
151,18,24,3,0,OPEN,LEV-22048,151,101,322421LY5,151,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
152,18,24,3,0,OPEN,LEV-22057,152,101,322425DY3,152,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
153,18,24,3,0,OPEN,LEV-22053,153,101,322427EY3,153,3,4,12,2,35,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
154,18,24,3,0,OPEN,LEV-22045,154,101,322511FY1,154,3,4,12,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
155,18,24,3,0,OPEN,LEV-22046,155,101,322525FY2,155,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
156,18,24,3,0,OPEN,LEV-22051,156,101,322525LY3,156,3,4,12,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
157,18,24,3,0,OPEN,LEV-22055,157,101,322527LY3,157,3,4,12,2,35,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
158,18,24,3,0,CLOSE,LEV-1024,158,101,421130AY2,158,3,3,2,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
159,18,24,3,0,OPEN,LEV-1084,159,101,421721EZ7,159,4,3,2,2,31,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
160,18,24,3,0,OPEN,LEV-1077,160,101,421939AY2,160,4,3,2,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
161,18,24,3,0,OPEN,LEV-1088,161,101,421X30LY3,161,4,3,2,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
162,18,24,3,0,OPEN,LEV-1098,162,101,451X30LQZ,162,4,3,2,2,10,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
163,18,24,3,0,CLOSE,LPV-1001,163,108,617U,163,3,3,2,2,24,1,0,29,,2021-11-06 0:00,2021-11-06 0:00
164,18,24,3,0,CLOSE,LPV-1002,164,108,617UM,164,3,3,2,2,24,1,0,29,,2021-11-06 0:00,2021-11-06 0:00
165,18,24,3,0,CLOSE,LPV-1003,165,108,889T,165,3,3,2,2,29,1,0,29,,2021-11-06 0:00,2021-11-06 0:00
166,18,24,3,0,CLOSE,LPV-1005,166,108,923U (G01184),166,4,3,2,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
167,18,24,3,0,CLOSE,LPV-1006,167,108,923U (G01456),167,4,3,2,2,24,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
168,18,24,3,0,CLOSE,LPV-1007,168,108,942U,168,4,3,2,2,29,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
169,18,24,3,0,CLOSE,LPV-1008,169,108,946U,169,4,3,2,2,29,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
170,18,24,3,0,CLOSE,LPV-1004,170,108,960T,170,3,3,2,2,29,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
171,18,24,3,0,CLOSE,LJV-1001,171,82,ADHJ-01,171,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
172,18,24,3,0,OPEN,LJV-1002,172,82,ADHJ-02,172,4,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
173,18,24,3,0,CLOSE,LFK-1001,173,83,LFK-1001,173,3,3,12,2,35,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
174,18,24,3,0,CLOSE,LFK-1001-1,174,83,LFK-1001-1,174,3,3,12,2,35,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
175,18,24,3,0,CLOSE,LFK-1001-2,175,83,LFK-1001-2,175,3,3,12,2,35,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
176,18,24,3,0,CLOSE,LFK-1002,176,83,LFK-1002,176,3,3,12,1,48,1,0,0,,2021-11-06 0:00,2021-11-06 0:00
177,18,24,3,0,CLOSE,LFK-1003,177,83,LFK-1003,177,3,3,12,2,35,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
178,18,24,3,0,CLOSE,LFK-1003-1,178,83,LFK-1003-1,178,3,3,12,2,35,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
179,18,24,3,0,CLOSE,LFK-1004,179,83,LFK-1004,179,3,3,12,2,31,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
180,18,24,3,0,CLOSE,LFK-1005,180,83,LFK-1005,180,3,3,12,1,48,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
181,18,24,3,0,OPEN,LFK-1006,181,83,LFK-1006,181,4,3,12,1,48,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
