id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,OPEN,LEV-1070,101,321921LY2,4,3,12,2,31,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1071,101,321921LY3,4,3,12,2,31,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1089,101,321921LY4,4,3,12,2,31,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1064,101,321921LY6,4,3,12,2,31,1,6,18,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1096,101,32193TLY4,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1072,101,321X11LY2,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1065,101,321X11LY7,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1090,101,321X11LY8,4,3,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1080,101,321X21AY9,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1079,101,321X27LY4,4,3,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1082,101,321Y21CYA,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1081,101,321Y21LY2,4,3,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1073,101,321Y30LY1,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1087,101,321Y30LY4,4,3,12,2,10,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22016,101,322111KY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22020,101,322121DY7,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22017,101,322121KY6,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22022,101,322211HY6,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22032,101,322211HY7,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22011,101,322211LY2,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22012,101,322211LY3,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22013,101,322211LY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22018,101,322211LY5,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22023,101,322221HY7,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22033,101,322221HY8,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22019,101,322221LY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22024,101,322221LY6,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22027,101,322227LY1,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22028,101,322227LY2,3,4,12,2,35,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22025,101,322311DYA,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22029,101,322311LY4,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22035,101,322311LY4-1,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22043,101,322311LY6,3,4,12,2,24,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22026,101,322321DYH,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22031,101,322321LY3,3,4,12,2,31,1,6,Null,2021-10-19,2021-10-19
